order_id,customer_id,order_date,payment_method,order_status
1,464,2024-07-22,PayPal,Completed
2,1118,2024-10-24,Bank Transfer,Cancelled
3,2577,2025-09-29,Credit Card,Completed
4,2932,2024-05-21,PayPal,Completed
5,384,2025-10-13,Credit Card,Completed
6,2093,2023-06-11,Invoice,Completed
7,1402,2025-07-22,PayPal,Completed
8,3148,2025-09-23,Bank Transfer,Completed
9,4182,2023-11-11,Invoice,Completed
10,91,2024-09-03,Bank Transfer,Completed
11,1684,2023-10-20,Credit Card,Completed
12,2357,2025-05-20,Bank Transfer,Returned
13,434,2024-12-11,Credit Card,Completed
14,544,2025-03-17,Credit Card,Completed
15,1396,2023-11-26,Credit Card,Cancelled
16,4274,2023-12-12,Invoice,Completed
17,981,2023-03-24,Bank Transfer,Completed
18,1761,2024-04-30,Bank Transfer,Completed
19,3764,2024-12-29,Bank Transfer,Completed
20,4295,2025-10-02,Invoice,Completed
21,2812,2025-04-15,Credit Card,Completed
22,1052,2024-09-09,Credit Card,Completed
23,2494,2025-12-05,PayPal,Completed
24,4508,2025-05-31,PayPal,Completed
25,3161,2025-11-23,Invoice,Returned
26,52,2024-12-05,Bank Transfer,Completed
27,24,2024-02-12,PayPal,Completed
28,4670,2023-04-12,Credit Card,Returned
29,2048,2025-06-06,Invoice,Returned
30,2805,2023-08-06,Bank Transfer,Completed
31,4387,2024-04-07,Invoice,Completed
32,4296,2024-12-09,Invoice,Completed
33,2670,2025-01-02,PayPal,Returned
34,3617,2025-02-11,Bank Transfer,Returned
35,3332,2023-10-21,PayPal,Completed
36,3584,2024-07-06,PayPal,Completed
37,1306,2025-03-01,Bank Transfer,Cancelled
38,4950,2025-12-15,Bank Transfer,Completed
39,2324,2025-06-08,Bank Transfer,Completed
40,3625,2025-11-18,PayPal,Returned
41,1146,2025-07-09,Credit Card,Completed
42,122,2025-02-01,Bank Transfer,Completed
43,2898,2023-11-22,Credit Card,Completed
44,58,2025-04-14,Invoice,Completed
45,3368,2025-03-07,Invoice,Completed
46,39,2025-02-13,PayPal,Completed
47,1610,2024-11-08,Credit Card,Cancelled
48,2966,2024-12-06,Bank Transfer,Completed
49,3971,2024-05-14,Credit Card,Completed
50,4715,2024-11-29,Invoice,Completed
51,1951,2023-11-27,PayPal,Returned
52,851,2025-08-16,Bank Transfer,Completed
53,1216,2023-11-15,Invoice,Completed
54,1147,2023-06-05,PayPal,Completed
55,4640,2024-09-10,Credit Card,Completed
56,250,2025-04-07,Credit Card,Completed
57,1316,2024-09-12,Credit Card,Completed
58,2838,2024-03-08,PayPal,Completed
59,3112,2024-12-28,Bank Transfer,Returned
60,1766,2024-05-29,Bank Transfer,Completed
61,2763,2025-11-24,Invoice,Completed
62,3491,2025-11-18,Credit Card,Completed
63,3889,2024-11-17,Credit Card,Completed
64,1672,2024-05-06,Invoice,Completed
65,2301,2025-06-16,Bank Transfer,Completed
66,3700,2023-03-16,Credit Card,Cancelled
67,688,2024-10-25,Bank Transfer,Completed
68,519,2024-05-16,Bank Transfer,Completed
69,3515,2025-11-17,Invoice,Completed
70,3722,2023-01-26,Bank Transfer,Completed
71,3556,2024-12-24,Bank Transfer,Completed
72,4184,2025-06-20,PayPal,Completed
73,1527,2024-11-04,Invoice,Cancelled
74,3366,2023-06-06,Invoice,Completed
75,1640,2025-12-16,Invoice,Completed
76,4007,2024-11-28,Invoice,Returned
77,1475,2025-02-26,Invoice,Completed
78,2951,2024-01-11,Invoice,Completed
79,4341,2024-11-03,Invoice,Completed
80,1323,2024-09-02,Credit Card,Returned
81,991,2023-05-19,Invoice,Completed
82,1904,2023-07-11,Credit Card,Completed
83,3219,2025-09-14,PayPal,Completed
84,4580,2024-01-15,PayPal,Cancelled
85,1937,2023-11-25,Invoice,Completed
86,4639,2024-11-19,Invoice,Cancelled
87,4718,2025-07-15,Bank Transfer,Completed
88,1747,2023-04-27,PayPal,Completed
89,2206,2025-01-15,Invoice,Completed
90,1518,2023-08-03,Invoice,Returned
91,1169,2023-03-15,Invoice,Completed
92,30,2023-04-12,Credit Card,Completed
93,2027,2025-09-11,Credit Card,Completed
94,4173,2023-07-31,Invoice,Completed
95,3926,2023-03-30,Bank Transfer,Completed
96,2108,2024-09-12,Bank Transfer,Completed
97,3922,2025-09-20,PayPal,Completed
98,4017,2024-02-17,PayPal,Completed
99,1176,2024-08-24,Credit Card,Completed
100,1081,2023-03-21,Credit Card,Completed
101,3453,2024-09-25,PayPal,Completed
102,3232,2025-01-16,Invoice,Returned
103,1373,2025-01-09,PayPal,Completed
104,3715,2024-05-12,PayPal,Completed
105,3032,2024-04-22,PayPal,Completed
106,940,2023-07-12,PayPal,Completed
107,1213,2024-06-21,PayPal,Returned
108,309,2023-06-30,PayPal,Completed
109,1078,2025-07-13,Bank Transfer,Completed
110,2914,2025-12-13,Invoice,Completed
111,3442,2025-12-15,PayPal,Completed
112,787,2025-10-09,Bank Transfer,Completed
113,554,2025-02-11,Credit Card,Completed
114,3980,2025-05-15,Credit Card,Completed
115,3689,2024-03-17,Bank Transfer,Completed
116,2513,2025-03-13,Bank Transfer,Completed
117,1841,2024-10-03,Invoice,Completed
118,1629,2024-11-02,Credit Card,Completed
119,3006,2025-07-05,PayPal,Completed
120,4519,2024-03-14,PayPal,Completed
121,454,2024-04-25,Credit Card,Completed
122,3606,2025-11-19,Credit Card,Completed
123,758,2023-04-18,Bank Transfer,Completed
124,3029,2024-11-05,PayPal,Completed
125,3861,2025-11-13,Bank Transfer,Completed
126,3757,2025-02-22,PayPal,Completed
127,540,2024-12-19,Credit Card,Completed
128,4159,2024-01-30,Bank Transfer,Completed
129,2322,2024-05-24,Invoice,Completed
130,2214,2025-09-27,Invoice,Returned
131,4056,2024-12-28,Bank Transfer,Completed
132,711,2024-11-26,Invoice,Returned
133,4696,2023-06-30,Invoice,Completed
134,4414,2023-02-03,PayPal,Returned
135,2590,2025-12-11,PayPal,Completed
136,1620,2024-07-03,Invoice,Completed
137,1481,2025-02-14,Invoice,Completed
138,2465,2023-05-28,Invoice,Completed
139,3947,2025-04-29,Invoice,Returned
140,2227,2025-11-24,Bank Transfer,Completed
141,1368,2025-01-14,PayPal,Completed
142,1383,2023-08-14,Invoice,Completed
143,2680,2025-01-21,Invoice,Cancelled
144,2662,2025-07-12,Invoice,Completed
145,1678,2024-08-06,PayPal,Cancelled
146,1041,2025-10-22,PayPal,Completed
147,1063,2025-03-29,Credit Card,Completed
148,706,2025-11-05,Bank Transfer,Completed
149,628,2025-03-07,Invoice,Completed
150,1541,2023-08-23,Credit Card,Completed
151,606,2024-04-15,Bank Transfer,Completed
152,484,2023-12-02,Bank Transfer,Returned
153,892,2025-11-11,PayPal,Completed
154,1853,2025-07-07,Credit Card,Completed
155,1695,2025-04-23,Credit Card,Cancelled
156,1936,2024-04-05,Credit Card,Completed
157,3179,2023-11-13,Bank Transfer,Completed
158,2055,2025-07-04,Invoice,Returned
159,84,2024-10-25,Bank Transfer,Cancelled
160,2491,2023-12-27,PayPal,Completed
161,1740,2025-03-01,Credit Card,Completed
162,4031,2023-03-22,Bank Transfer,Completed
163,4975,2024-05-04,Invoice,Completed
164,4432,2024-10-18,Invoice,Completed
165,1971,2023-09-20,Invoice,Completed
166,3772,2025-12-23,Bank Transfer,Completed
167,3474,2023-12-10,Invoice,Completed
168,1387,2023-08-21,Invoice,Completed
169,4644,2023-12-04,Invoice,Completed
170,1613,2025-07-15,PayPal,Completed
171,2995,2024-08-29,PayPal,Returned
172,1489,2025-01-03,PayPal,Completed
173,3823,2023-02-14,Credit Card,Completed
174,4577,2023-03-12,Credit Card,Completed
175,4509,2024-09-21,Credit Card,Completed
176,2898,2025-08-26,Bank Transfer,Completed
177,2428,2025-10-27,Credit Card,Completed
178,2652,2023-06-08,Invoice,Completed
179,3317,2024-12-13,Bank Transfer,Completed
180,4938,2025-11-13,Invoice,Completed
181,4506,2024-07-16,Bank Transfer,Completed
182,1615,2025-09-07,Credit Card,Completed
183,3202,2023-08-27,Invoice,Completed
184,2502,2025-11-25,Invoice,Completed
185,3130,2025-06-29,PayPal,Completed
186,4992,2025-11-29,Bank Transfer,Completed
187,3167,2025-04-23,Invoice,Completed
188,1878,2024-06-17,Bank Transfer,Completed
189,2409,2025-11-27,Credit Card,Completed
190,2696,2024-03-06,Invoice,Completed
191,4916,2024-05-11,PayPal,Completed
192,4447,2025-05-15,Bank Transfer,Completed
193,2917,2025-07-12,Invoice,Completed
194,1591,2025-11-22,Invoice,Returned
195,4421,2023-12-05,PayPal,Completed
196,4651,2025-08-10,Credit Card,Returned
197,2098,2025-06-18,Credit Card,Completed
198,2973,2023-05-01,Bank Transfer,Completed
199,3973,2024-07-15,Invoice,Completed
200,4818,2024-03-15,PayPal,Completed
201,4211,2024-04-09,PayPal,Completed
202,4150,2025-12-22,PayPal,Completed
203,3779,2025-03-24,PayPal,Completed
204,2056,2025-05-30,PayPal,Completed
205,3300,2025-12-18,Credit Card,Completed
206,2043,2024-07-03,Credit Card,Completed
207,1154,2025-08-13,PayPal,Completed
208,3134,2024-09-08,Credit Card,Completed
209,1303,2025-10-13,Invoice,Completed
210,4380,2023-11-09,PayPal,Completed
211,457,2025-12-02,Bank Transfer,Completed
212,1929,2023-12-20,Invoice,Completed
213,2608,2024-05-04,Invoice,Completed
214,1109,2025-07-03,PayPal,Completed
215,3239,2024-07-22,PayPal,Completed
216,4756,2025-02-19,PayPal,Cancelled
217,3117,2024-09-20,Credit Card,Completed
218,2191,2025-06-21,Bank Transfer,Completed
219,4669,2023-12-30,Bank Transfer,Completed
220,142,2023-04-21,Invoice,Completed
221,273,2024-04-04,PayPal,Completed
222,4781,2024-10-25,Invoice,Completed
223,2546,2023-10-24,Credit Card,Returned
224,2492,2024-06-07,Credit Card,Completed
225,3019,2024-07-30,Credit Card,Returned
226,2062,2023-04-20,Invoice,Completed
227,1439,2025-01-23,Bank Transfer,Completed
228,2063,2025-10-26,Bank Transfer,Completed
229,1699,2023-09-27,Bank Transfer,Completed
230,598,2025-02-08,Credit Card,Completed
231,1198,2025-04-13,Invoice,Cancelled
232,1409,2024-08-21,Invoice,Completed
233,1614,2025-05-15,Credit Card,Completed
234,877,2024-08-11,PayPal,Returned
235,2614,2024-11-18,Bank Transfer,Completed
236,1646,2023-01-16,Invoice,Completed
237,2178,2025-05-07,Credit Card,Completed
238,3458,2025-04-10,Credit Card,Completed
239,3160,2023-03-18,Bank Transfer,Completed
240,3649,2024-06-23,Invoice,Completed
241,1215,2025-12-20,PayPal,Completed
242,3963,2024-08-23,Credit Card,Completed
243,3042,2024-11-16,Invoice,Completed
244,1202,2025-11-11,Credit Card,Completed
245,2230,2025-05-30,Credit Card,Completed
246,915,2025-01-21,Bank Transfer,Completed
247,1641,2025-08-10,PayPal,Completed
248,3313,2025-10-08,Credit Card,Completed
249,296,2024-10-04,Bank Transfer,Completed
250,4874,2024-10-26,Invoice,Completed
251,4250,2024-07-13,Bank Transfer,Completed
252,195,2025-12-13,PayPal,Completed
253,3467,2025-05-12,Invoice,Returned
254,3274,2023-06-03,Bank Transfer,Completed
255,3833,2025-10-07,Bank Transfer,Completed
256,1396,2024-11-01,Bank Transfer,Completed
257,778,2023-05-09,Invoice,Completed
258,593,2024-12-21,Invoice,Completed
259,4763,2024-08-19,Credit Card,Completed
260,4673,2025-10-20,Invoice,Completed
261,2894,2023-12-04,Invoice,Completed
262,3507,2025-09-04,PayPal,Completed
263,2347,2024-12-27,Credit Card,Completed
264,118,2023-04-15,PayPal,Completed
265,4945,2025-12-16,Credit Card,Completed
266,3002,2024-11-24,Invoice,Completed
267,3361,2024-03-24,Bank Transfer,Completed
268,2255,2024-10-19,Bank Transfer,Completed
269,1108,2025-10-02,PayPal,Completed
270,2603,2024-04-09,Invoice,Completed
271,2992,2023-11-22,PayPal,Cancelled
272,1051,2023-08-19,Bank Transfer,Returned
273,4654,2024-04-01,Credit Card,Completed
274,1953,2025-07-25,Invoice,Completed
275,171,2024-10-22,Credit Card,Completed
276,3780,2023-12-29,PayPal,Completed
277,4126,2023-10-21,PayPal,Completed
278,4118,2024-05-12,Bank Transfer,Completed
279,911,2025-11-28,Bank Transfer,Returned
280,375,2024-05-24,PayPal,Completed
281,1405,2025-12-25,Credit Card,Completed
282,4819,2024-11-04,Credit Card,Completed
283,2115,2023-11-08,PayPal,Completed
284,1078,2025-11-01,Bank Transfer,Completed
285,3185,2024-10-08,Bank Transfer,Completed
286,2210,2025-05-23,PayPal,Completed
287,2983,2025-12-22,Credit Card,Completed
288,137,2023-04-07,Bank Transfer,Cancelled
289,2128,2023-06-25,Credit Card,Cancelled
290,2254,2025-06-01,PayPal,Returned
291,585,2024-03-13,Bank Transfer,Completed
292,145,2023-11-13,PayPal,Completed
293,4066,2023-03-20,Credit Card,Completed
294,4547,2023-02-16,PayPal,Completed
295,4790,2025-07-20,PayPal,Completed
296,982,2023-08-28,Credit Card,Completed
297,988,2024-10-17,PayPal,Completed
298,3639,2025-02-17,PayPal,Completed
299,2382,2024-09-01,PayPal,Completed
300,4996,2023-02-27,Credit Card,Completed
301,1846,2025-07-28,Credit Card,Completed
302,3213,2023-01-23,Invoice,Completed
303,514,2025-07-08,Credit Card,Returned
304,2028,2025-11-02,Bank Transfer,Completed
305,1910,2024-09-06,Bank Transfer,Completed
306,1906,2024-12-11,Bank Transfer,Completed
307,4705,2024-10-28,Invoice,Completed
308,2512,2024-07-17,Invoice,Completed
309,1700,2025-10-29,Credit Card,Completed
310,3673,2025-11-02,PayPal,Cancelled
311,1420,2024-05-16,Invoice,Completed
312,4564,2025-02-27,Invoice,Completed
313,2345,2025-11-21,Bank Transfer,Completed
314,4658,2025-12-10,Bank Transfer,Completed
315,4566,2024-11-22,Invoice,Completed
316,4639,2024-09-30,Credit Card,Completed
317,302,2024-03-10,Invoice,Completed
318,3425,2025-12-09,Credit Card,Returned
319,2274,2023-09-12,PayPal,Completed
320,2507,2025-01-19,PayPal,Completed
321,4456,2024-03-14,Bank Transfer,Returned
322,908,2024-03-10,Credit Card,Completed
323,786,2024-08-05,PayPal,Completed
324,3462,2025-12-31,Bank Transfer,Cancelled
325,532,2023-04-16,PayPal,Completed
326,3679,2025-01-17,PayPal,Completed
327,2462,2023-06-01,Invoice,Completed
328,4820,2023-10-01,Credit Card,Completed
329,525,2024-09-14,Credit Card,Completed
330,1486,2024-11-23,PayPal,Completed
331,2654,2024-02-12,PayPal,Completed
332,2505,2024-04-23,PayPal,Completed
333,4158,2023-06-09,Invoice,Completed
334,4379,2024-04-08,Bank Transfer,Completed
335,1458,2025-12-13,PayPal,Completed
336,4707,2025-12-01,PayPal,Completed
337,3009,2024-05-15,Invoice,Cancelled
338,544,2025-01-09,Credit Card,Completed
339,2367,2025-11-11,PayPal,Completed
340,3700,2023-01-14,Bank Transfer,Completed
341,3283,2025-08-21,PayPal,Cancelled
342,3220,2025-12-03,Invoice,Completed
343,4778,2023-06-16,PayPal,Completed
344,3393,2023-10-13,Invoice,Completed
345,481,2025-12-10,Bank Transfer,Completed
346,3288,2024-12-13,Bank Transfer,Completed
347,4018,2023-01-31,Invoice,Completed
348,260,2024-02-10,Credit Card,Completed
349,1268,2024-09-26,Invoice,Completed
350,2092,2025-05-08,Invoice,Completed
351,2219,2025-06-13,Invoice,Completed
352,2361,2025-12-29,Invoice,Completed
353,3288,2024-03-20,Credit Card,Returned
354,849,2024-12-13,PayPal,Completed
355,2591,2024-12-09,PayPal,Completed
356,2713,2024-08-05,Bank Transfer,Completed
357,1900,2023-10-26,Bank Transfer,Completed
358,3891,2025-12-19,Invoice,Completed
359,2147,2025-09-28,PayPal,Completed
360,1215,2024-11-14,Credit Card,Completed
361,3796,2025-02-14,Credit Card,Completed
362,2241,2023-12-29,Bank Transfer,Completed
363,1836,2024-12-17,Credit Card,Returned
364,3258,2025-05-10,Invoice,Cancelled
365,1755,2024-11-26,PayPal,Completed
366,2817,2025-12-26,Invoice,Completed
367,3251,2025-02-23,Invoice,Completed
368,4969,2024-06-26,Invoice,Completed
369,4973,2025-07-18,Bank Transfer,Completed
370,3100,2023-10-29,PayPal,Completed
371,191,2024-07-12,Bank Transfer,Completed
