product_id,product_name,category,purchase_price,selling_price,launch_date
101,NovaSmar A0,Smartphones,715.2,1048.06,2025-06-22
102,NovaSmar B1,Smartphones,825.59,1089.27,2024-03-15
103,NovaSmar C2,Smartphones,415.45,539.32,2024-06-09
104,NovaSmar D3,Smartphones,224.94,311.87,2023-09-04
105,NovaSmar E4,Smartphones,994.43,1389.45,2025-07-10
106,NovaSmar F5,Smartphones,987.52,1281.41,2024-04-29
107,NovaSmar G6,Smartphones,749.03,971.95,2024-05-27
108,NovaSmar H7,Smartphones,849.21,1169.21,2024-05-08
109,NovaSmar I8,Smartphones,247.17,347.59,2023-12-09
110,NovaSmar J9,Smartphones,726.06,1022.03,2023-01-14
111,NovaSmar K10,Smartphones,963.41,1317.85,2024-03-19
112,NovaSmar L11,Smartphones,811.73,1174.29,2023-07-24
113,NovaSmar M12,Smartphones,286.22,396.58,2024-07-22
114,NovaSmar N13,Smartphones,212.47,299.1,2024-12-31
115,NovaSmar O14,Smartphones,816.84,1127.66,2023-12-03
116,NovaSmar P15,Smartphones,253.1,328.59,2023-02-13
117,NovaSmar Q16,Smartphones,785.87,1033.03,2023-11-18
118,NovaSmar R17,Smartphones,431.66,556.64,2024-01-03
119,NovaSmar S18,Smartphones,390.51,514.44,2023-09-29
120,NovaSmar T19,Smartphones,482.51,623.5,2025-07-09
121,NovaSmar U20,Smartphones,419.45,547.19,2023-08-30
122,NovaSmar V21,Smartphones,776.46,1097.32,2025-01-20
123,NovaSmar W22,Smartphones,684.26,988.84,2024-09-05
124,NovaSmar X23,Smartphones,896.87,1217.22,2023-05-10
125,NovaSmar Y24,Smartphones,929.12,1215.98,2025-02-13
126,NovaSmar Z25,Smartphones,228.25,307.39,2025-12-27
127,NovaSmar A26,Smartphones,342.02,491.61,2025-05-10
128,NovaSmar B27,Smartphones,294.35,418.38,2024-03-09
129,NovaSmar C28,Smartphones,280.28,379.53,2025-06-09
130,NovaSmar D29,Smartphones,385.13,551.18,2024-06-29
131,NovaLapt A0,Laptops,1442.15,1926.39,2025-12-23
132,NovaLapt B1,Laptops,1743.53,2398.93,2024-11-06
133,NovaLapt C2,Laptops,1827.1,2271.78,2025-12-27
134,NovaLapt D3,Laptops,1453.19,1820.03,2025-07-08
135,NovaLapt E4,Laptops,1023.59,1348.77,2025-06-30
136,NovaLapt F5,Laptops,839.51,1057.35,2024-03-14
137,NovaLapt G6,Laptops,1740.46,2351.43,2023-02-11
138,NovaLapt H7,Laptops,704.71,891.54,2025-08-10
139,NovaLapt I8,Laptops,1724.0,2353.5,2023-08-25
140,NovaLapt J9,Laptops,1689.08,2092.2,2023-04-21
141,NovaLapt K10,Laptops,718.83,958.48,2023-08-20
142,NovaLapt L11,Laptops,1263.79,1619.13,2023-10-04
143,NovaLapt M12,Laptops,484.95,604.66,2024-04-19
144,NovaLapt N13,Laptops,1669.02,2096.89,2023-04-14
145,NovaLapt O14,Laptops,1150.98,1515.83,2023-06-01
146,NovaLapt P15,Laptops,751.0,981.99,2024-11-25
147,NovaLapt Q16,Laptops,1255.81,1549.15,2024-06-18
148,NovaLapt R17,Laptops,937.94,1163.15,2024-01-01
149,NovaLapt S18,Laptops,452.58,587.04,2024-02-25
150,NovaLapt T19,Laptops,576.81,778.42,2023-07-03
151,NovaLapt U20,Laptops,1162.72,1534.91,2023-05-27
152,NovaLapt V21,Laptops,1016.31,1343.24,2023-06-14
153,NovaTabl A0,Tablets,605.95,789.19,2023-12-04
154,NovaTabl B1,Tablets,521.39,744.07,2024-11-22
155,NovaTabl C2,Tablets,161.31,222.97,2023-02-25
156,NovaTabl D3,Tablets,598.79,819.24,2023-03-04
157,NovaTabl E4,Tablets,208.34,265.91,2023-06-16
158,NovaTabl F5,Tablets,207.04,265.11,2023-07-21
159,NovaTabl G6,Tablets,390.94,550.18,2025-01-30
160,NovaTabl H7,Tablets,180.4,244.8,2023-02-22
161,NovaTabl I8,Tablets,542.96,774.38,2024-10-02
162,NovaTabl J9,Tablets,396.01,502.24,2025-10-29
163,NovaTabl K10,Tablets,518.55,715.49,2024-06-18
164,NovaTabl L11,Tablets,243.32,326.42,2023-10-30
165,NovaTabl M12,Tablets,504.27,679.28,2025-09-03
166,NovaTabl N13,Tablets,320.61,428.75,2023-06-06
167,NovaKopf A0,Kopfhoerer,50.92,84.71,2024-08-14
168,NovaKopf B1,Kopfhoerer,129.87,214.52,2024-10-05
169,NovaKopf C2,Kopfhoerer,117.75,169.39,2025-06-09
170,NovaKopf D3,Kopfhoerer,140.27,201.91,2023-04-11
171,NovaKopf E4,Kopfhoerer,20.08,30.03,2024-05-18
172,NovaKopf F5,Kopfhoerer,105.28,168.82,2023-07-01
173,NovaKopf G6,Kopfhoerer,103.84,162.74,2025-12-21
174,NovaKopf H7,Kopfhoerer,55.31,84.48,2023-09-09
175,NovaKopf I8,Kopfhoerer,79.29,116.25,2024-07-05
176,NovaKopf J9,Kopfhoerer,126.87,218.32,2025-01-26
177,NovaKopf K10,Kopfhoerer,179.56,273.69,2023-12-15
178,NovaKopf L11,Kopfhoerer,209.26,319.5,2023-03-27
179,NovaKopf M12,Kopfhoerer,162.3,233.44,2025-08-20
180,NovaKopf N13,Kopfhoerer,32.82,48.62,2025-04-20
181,NovaSmar A0,Smartwatches,296.2,430.16,2025-07-31
182,NovaSmar B1,Smartwatches,294.69,438.95,2023-02-04
183,NovaSmar C2,Smartwatches,352.07,523.8,2025-12-12
184,NovaSmar D3,Smartwatches,149.17,200.62,2024-07-02
185,NovaSmar E4,Smartwatches,354.95,540.1,2025-03-13
186,NovaSmar F5,Smartwatches,165.95,238.05,2025-12-19
187,NovaSmar G6,Smartwatches,365.67,505.18,2024-06-13
188,NovaSmar H7,Smartwatches,430.69,628.18,2025-08-28
189,NovaSmar I8,Smartwatches,245.13,373.15,2025-11-22
190,NovaSmar J9,Smartwatches,139.45,205.62,2024-01-20
191,NovaZube A0,Zubehoer,44.83,82.96,2024-07-02
192,NovaZube B1,Zubehoer,19.27,42.91,2023-10-17
